Date,Close/Last,Volume,Open,High,Low
09/27/2022,$127.51,6682349,$129.32,$130.45,$125.60
09/26/2022,$127.34,7095145,$129.77,$132.45,$126.88
09/23/2022,$131.26,8927864,$135.65,$136.185,$129.50
09/22/2022,$138.71,6311829,$143.13,$143.70,$138.29
09/21/2022,$143.29,6244253,$146.77,$149.87,$143.21
09/20/2022,$145.94,6737550,$145.26,$147.67,$143.90
09/19/2022,$144.88,5150720,$142.62,$146.99,$142.35
09/16/2022,$144.29,10310730,$145.23,$145.63,$141.35
09/15/2022,$149.78,9792791,$147.88,$153.45,$147.28
09/14/2022,$149.26,8477972,$146.90,$149.70,$144.30
09/13/2022,$147.31,8724873,$153.60,$155.19,$147.13
09/12/2022,$158.72,5363130,$158.46,$160.97,$157.45
09/09/2022,$157.52,5782876,$158.00,$159.75,$156.95
09/08/2022,$157.79,4949112,$155.00,$158.30,$153.84
09/07/2022,$155.95,5298579,$151.26,$156.345,$150.87
09/06/2022,$152.39,5210472,$152.39,$154.48,$150.46
09/02/2022,$151.82,5262774,$155.19,$156.99,$151.48
09/01/2022,$153.66,7651999,$158.00,$158.90,$150.82
08/31/2022,$160.25,4123490,$163.00,$163.551,$160.14
08/30/2022,$162.21,6248628,$167.27,$169.92,$160.7201
08/29/2022,$165.42,4727621,$162.28,$166.9021,$162.20
08/26/2022,$164.53,4957414,$170.00,$171.37,$164.27
08/25/2022,$169.38,4949408,$164.56,$169.65,$163.70
08/24/2022,$163.60,4211287,$162.27,$164.14,$161.3801
08/23/2022,$160.07,3425179,$159.14,$161.6899,$159.0806
08/22/2022,$158.98,5312327,$159.40,$160.2682,$157.91
08/19/2022,$162.92,5736069,$166.33,$166.84,$162.58
08/18/2022,$168.69,4404601,$167.20,$169.1799,$165.77
08/17/2022,$167.20,6533521,$169.61,$169.85,$166.09
08/16/2022,$172.08,5259589,$170.00,$173.85,$169.15
08/15/2022,$170.47,4734688,$169.29,$172.55,$168.32
08/12/2022,$169.99,4345220,$168.39,$170.11,$167.57
08/11/2022,$167.88,4996809,$170.50,$171.7599,$167.05
08/10/2022,$169.02,7181681,$168.35,$171.14,$167.25
08/09/2022,$164.85,6064750,$166.51,$166.51,$163.45
08/08/2022,$165.89,11311690,$166.41,$171.09,$164.7115
08/05/2022,$165.04,4709123,$164.40,$167.07,$163.93
08/04/2022,$166.50,5039567,$165.77,$168.12,$164.41
08/03/2022,$166.64,6709072,$164.51,$167.52,$162.33
08/02/2022,$163.28,10874320,$167.00,$167.325,$163.14
08/01/2022,$169.07,18321560,$165.95,$171.76,$164.25
07/29/2022,$159.31,5743489,$157.95,$159.84,$155.54
07/28/2022,$159.09,8729065,$154.02,$160.10,$153.03
07/27/2022,$156.09,16356650,$161.12,$162.74,$152.80
07/26/2022,$155.92,6053054,$155.24,$158.18,$154.50
07/25/2022,$156.64,5764734,$156.94,$157.31,$152.84
